Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat57,Intensity Rat58,Intensity Rat59,Intensity Rat60,Intensity Rat61,Intensity Rat62,Intensity Rat63,Intensity Rat64,Intensity Rat65,Intensity Rat66
A0A8I5YC36,A0A8I5YC36_RAT,E3 SUMO-protein ligase RanBP2,Ranbp2,171539000,55603500,45999500,60256200,58571800,47204900,57413400,41616300,44844700,32866000
A0A8I5YC45,A0A8I5YC45_RAT,Immunoglobulin heavy constant epsilon,Ighm,,,501025000,1094950000,503288000,,,,1294080000,678927000
A0A8I5YC51,A0A8I5YC51_RAT,GB1/RHD3-type G domain-containing protein,ENSRNOG00000066766,,,,,,260630,474044,571189,341370,495074
A0A8I5YC77,A0A8I5YC77_RAT,NIPA-like domain containing 3,Nipal3,6107730,7499360,3583530,7562850,6252610,8103440,8409430,7544300,7119450,7203510
A0A8I5YC99,A0A8I5YC99_RAT,Epidermal growth factor receptor substrate 15,Eps15,31999400,29042600,25758000,22900100,26625700,37005600,36722600,33602700,32405800,36566600
A0A8I5YCC9,A0A8I5YCC9_RAT,Integrin subunit alpha 5,Itga5,,10416200,13616000,15210200,16974900,5281190,6446290,,21085400,16708800
A0A8I5YCH6,A0A8I5YCH6_RAT,Aladin WD repeat nucleoporin,Aaas,26007900,28320500,30729700,31753900,34886800,31117300,31545500,29642300,43407700,56418300
A0A8I5ZJ57,A0A8I5ZJ57_RAT,FACT complex subunit,Supt16h,10485400,10418500,9136680,9542520,9363970,12054400,15183100,10207000,8373920,12543700
A0A8I5ZJ62,A0A8I5ZJ62_RAT,Golgi-associated plant pathogenesis-related protein 1,Glipr2,177889000,169160000,232905000,126399000,170847000,172505000,211868000,162464000,155883000,300324000
A0A8I5ZJ94,A0A8I5ZJ94_RAT,Ankyrin-1,Ank1,63050100,75867100,118520000,203819000,155162000,63059600,74557900,63973100,465466000,256684000
A0A8I5ZJB6,A0A8I5ZJB6_RAT,Tubulin-specific chaperone D,Tbcd,27682900,31285700,21847500,18103000,24062300,25211600,31919400,29622100,18734100,22654800
A0A8I5ZJB9,A0A8I5ZJB9_RAT,Nesprin-1,Syne1,114624000,132242000,97217900,98604600,94840000,107612000,133585000,117633000,110802000,119829000
A0A8I5ZJI2,A0A8I5ZJI2_RAT,Serine/threonine-protein kinase receptor,Bmpr1b,14472600,,12822400,,8188850,11918700,9283270,10252200,5520820,4668230
A0A8I5ZK24,A0A8I5ZK24_RAT,DDHD domain containing 1,Ddhd1,115787000,104875000,97516800,98949000,97345100,96525100,111603000,98720400,99550300,109705000
A0A8I5ZK56,A0A8I5ZK56_RAT,Nicotinamide-nucleotide adenylyltransferase,Nmnat1,17468700,15880000,13469500,15846000,15107200,13848300,14731600,14939000,15935500,15990000
A0A8I5ZK89,A0A8I5ZK89_RAT,Dedicator of cytokinesis 5,Dock5,165932000,149486000,144866000,129906000,144987000,146011000,166338000,162618000,153695000,180624000
A0A8I5ZK96,A0A8I5ZK96_RAT,Protocadherin 9,Pcdh9,5340000,5327760,3779120,4780770,3119100,3118560,3358990,3782240,2958620,3478060
A0A8I5ZKD4,A0A8I5ZKD4_RAT,NHL repeat-containing protein 3,Nhlrc3,13731000,16116900,12323700,13519200,12060600,9349550,15208600,13287700,12247900,11802100
A0A8I5ZKE7,A0A8I5ZKE7_RAT,CUGBP Elav-like family member 4,Celf4,4866980,5777310,3977720,4132870,4726190,3430030,4658180,3423250,5099130,3693870
A0A8I5ZKE8,A0A8I5ZKE8_RAT,Integrin beta,Itgb5,8875230,13864600,7137690,12925200,318487,26589100,22172500,23881900,35356100,37047400
A0A8I5ZKG8,A0A8I5ZKG8_RAT,"Consortin, connexin sorting protein",Cnst,221241,384648,,255780,185451,299581,242701,257033,,163347
A0A8I5ZKH1,A0A8I5ZKH1_RAT,3'-5' RNA helicase YTHDC2,Ythdc2,121799000,114003000,79030100,84396900,88783700,80790100,116657000,107784000,96772800,92658500
