Protein IDs,Protein.Names,Description,Gene Name,Intensity Rat47,Intensity Rat48,Intensity Rat49,Intensity Rat50,Intensity Rat51,Intensity Rat52,Intensity Rat53,Intensity Rat54,Intensity Rat55,Intensity Rat56
P54319,PLAP_RAT,Phospholipase A-2-activating protein,Plaa,54207900,54355400,53787000,53752500,48373000,38126400,55758900,44746800,51473400,50290100
P54645,AAPK1_RAT,5'-AMP-activated protein kinase catalytic subunit alpha-1,Prkaa1,30870600,42827500,45997300,42139500,37082800,19139700,37129600,23075300,32542700,32850600
P54690,BCAT1_RAT,"Branched-chain-amino-acid aminotransferase, cytosolic",Bcat1,253971000,264942000,246933000,254168000,234518000,213310000,282333000,218852000,240383000,238247000
P54777,PEX6_RAT,Peroxisomal ATPase PEX6,Pex6,6409550,5591630,7585120,7548160,7293350,5888170,7560620,6149850,6552730,5961340
P54900,SCN2B_RAT,Sodium channel regulatory subunit beta-2,Scn2b,17868800,21356500,21570800,24249300,17906100,16497400,21120400,18430100,22002600,16421700
P54921,SNAA_RAT,Alpha-soluble NSF attachment protein,Napa,117681000,119311000,118508000,125235000,115148000,84923400,122399000,102406000,111177000,109813000
P55009,AIF1_RAT,Allograft inflammatory factor 1,Aif1,7397310,6715630,7016360,7437680,6863410,4278420,7917640,6651090,6904770,8007180
P55051,FABP7_RAT,"Fatty acid-binding protein, brain",Fabp7,973879000,1051700000,1005750000,1146690000,1010710000,693997000,1105460000,890801000,1078310000,1156230000
P55053,FABP5_RAT,Fatty acid-binding protein 5,Fabp5,360416000,389983000,387087000,470047000,348930000,283042000,364485000,327764000,400170000,418812000
P55063,HS71L_RAT,Heat shock 70 kDa protein 1-like,Hspa1l,26683700,33722900,35353500,30850000,27781800,8197640,35040800,24318700,28522100,31441400
P55067,NCAN_RAT,Neurocan core protein,Ncan,80735300,75206000,73176400,90145600,89681000,129551000,79352100,104732000,75122900,69503400
P55068,PGCB_RAT,Brevican core protein,Bcan,373502000,407336000,355735000,374221000,344876000,363304000,378237000,309482000,333410000,333129000
P55146,TYRO3_RAT,Tyrosine-protein kinase receptor TYRO3,Tyro3,39012800,55271300,59061400,77588600,35931000,,75265200,51309700,60464700,
P55159,PON1_RAT,Serum paraoxonase/arylesterase 1,Pon1,997944,1014720,,1247090,,6130700,1203500,6393360,1443650,
P55161,NCKP1_RAT,Nck-associated protein 1,Nckap1,60764400,62638900,62873900,68153000,66858400,42201200,67107300,55144700,61725800,57126500
P55213,CASP3_RAT,Caspase-3,Casp3,9670760,7246000,8139960,7966980,10543200,7223010,7407080,9122140,7913090,6512030
P55260,ANXA4_RAT,Annexin A4,Anxa4,101186000,101345000,110669000,124157000,112966000,75928100,111220000,77617300,101606000,90362400
P55266,DSRAD_RAT,Double-stranded RNA-specific adenosine deaminase,Adar,9684570,6989720,11097500,13196200,12178200,7634390,11170100,12541400,10051200,9561010
P55280,CADH6_RAT,Cadherin-6,Cdh6,10624600,11240500,10254800,11307400,12195300,7234440,9218430,8186550,8916480,9130710
P55314,CO8B_RAT,Complement component C8 beta chain,C8b,3385360,,,,,21966000,,59272600,1772280,
P55770,NH2L1_RAT,NHP2-like protein 1,Snu13,36239700,38097600,36446800,38370900,36965600,27402800,38408700,30803800,34251500,33070200
P55926,ASIC1_RAT,Acid-sensing ion channel 1,Asic1,4774440,5387200,5643790,5185080,4479480,3164950,5901000,4602000,5307700,4489760
P56522,ADRO_RAT,"NADPH:adrenodoxin oxidoreductase, mitochondrial",Fdxr,18551500,19109400,19163800,19747300,18504100,17137500,20421800,16368800,17090100,17790500
P56536,KIF5C_RAT,Kinesin heavy chain isoform 5C,Kif5c,147418000,143107000,163868000,162289000,145407000,108953000,160640000,128315000,152388000,143427000
P56558,OGT1_RAT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,Ogt,34479700,37025100,36620000,37638700,37765600,27173800,40020400,32523900,36216400,33643000
P56571,ES1_RAT,"ES1 protein homolog, mitochondrial",None,334724000,363306000,330666000,341476000,353971000,235251000,316760000,251121000,313157000,303801000
P56574,IDHP_RAT,"Isocitrate dehydrogenase [NADP], mitochondrial",Idh2,171129000,180588000,174893000,191069000,164877000,132703000,189147000,137134000,149506000,145504000
P56603,SCAM1_RAT,Secretory carrier-associated membrane protein 1,Scamp1,75063600,87801600,75682500,94185900,91982600,62978500,66958600,68816600,68945600,69659000
P56702,DBIL5_RAT,Diazepam-binding inhibitor-like 5,Dbil5,1670620,1811470,2246710,2316030,3217480,,2279730,2129900,2254870,2246730
P56819,BACE1_RAT,Beta-secretase 1,Bace1,4401090,3987360,,4131450,,3150870,,4270960,4291820,
P56932,2ABD_RAT,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform,Ppp2r2d,14469500,14311000,15542800,14986300,17074900,5844130,13059000,8891720,12165500,10898100
P57093,PAHX_RAT,"Phytanoyl-CoA dioxygenase, peroxisomal",Phyh,116441000,97783600,107870000,133344000,115392000,173800000,104704000,94406200,100227000,100684000
P57097,MERTK_RAT,Tyrosine-protein kinase Mer,Mertk,788894,834944,729320,919858,1028230,803352,938612,1111170,1165770,961378
P57113,MAAI_RAT,Maleylacetoacetate isomerase,Gstz1,74359000,74808900,75683800,83468600,77821400,51015400,83818900,68068200,77826300,72063100
P57760,STK16_RAT,Serine/threonine-protein kinase 16,Stk16,410608,572817,437756,743616,522199,426079,628066,365017,636049,586163
