Accession,Description,138,139,140,141,142,143,144,,,,,
,,SCI,SCI,SCI,SHAM,SHAM,SHAM,SHAM,,,,,
Q68FY0,"Cytochrome b-c1 complex subunit 1, mitochondrial [OS=Rattus norvegicus]",111731037.4,60812866.07,135032795.7,117123576.1,86416290.84,108280516.7,46685086.79,,,,,
Q9QUL6,Vesicle-fusing ATPase [OS=Rattus norvegicus],348892748.4,154621525.7,416945552.8,319454380.4,277299523.8,369768615.4,380784096.6,,,,,
P12346,Serotransferrin [OS=Rattus norvegicus],1241017865,1665247595,383760824.1,175418925.1,147076333.6,81758354.76,97224721.06,,,,,
P33124,Long-chain-fatty-acid--CoA ligase 6 [OS=Rattus norvegicus],28856654.57,12999074.26,54045272.68,53585110.66,34275336.87,46305696.33,83338827.71,,,,,
Q3MIE4,Synaptic vesicle membrane protein VAT-1 homolog [OS=Rattus norvegicus],30275347.37,4233642.498,27474730.17,47005084.4,32313935.36,33935901.15,90269568.36,,,,,
P11348,Dihydropteridine reductase [OS=Rattus norvegicus],26612580.26,22713203.36,22246233.42,36883951.84,18192320.67,22176512.29,42519908.18,,,,,
Q5FVJ0,Protein RUFY3 [OS=Rattus norvegicus],69898329.02,49500927.39,67661199.8,77919106.05,76565615.73,66760792.65,83066647.12,,,,,
P21708,Mitogen-activated protein kinase 3 [OS=Rattus norvegicus],59130059.62,20340091.59,43173372.82,77416479.78,35591418.43,49010362.71,112113538.1,,,,,
Q6P502,T-complex protein 1 subunit gamma [OS=Rattus norvegicus],51995325.64,2310307.763,58597344.02,64944305.88,38000019.75,65996766.9,94074657.15,,,,,
Q6NYB7,Ras-related protein Rab-1A [OS=Rattus norvegicus],12781063.32,893906.4011,15009631.44,19428100.5,15545899.04,11363628.95,27174398.18,,,,,
Q63560,Microtubule-associated protein 6 [OS=Rattus norvegicus],54438384.35,43471088.25,80943417.9,91285741.26,106286985.6,139960327.3,159600791.7,,,,,
Q68FX0,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial [OS=Rattus norvegicus]",97575406,46407632.21,138530584.7,120512247.4,92614069.13,111643390.5,110637436.7,,,,,
Q9JK11,Reticulon-4 [OS=Rattus norvegicus],105229060.8,43425457.72,100238999.9,141320818.7,129039816.9,206297639.3,315200902.7,,,,,
B0BNN3,Carbonic anhydrase 1 [OS=Rattus norvegicus],96152430,51885858.86,19668975.77,7630933.418,1178737.475,657179.9512,769085.9009,,,,,
Q5XIM9,T-complex protein 1 subunit beta [OS=Rattus norvegicus],62283659.7,7404282.89,69015156.29,78371852.63,35874737.28,76456748.78,106559604.8,,,,,
P61107,Ras-related protein Rab-14 [OS=Rattus norvegicus],4600872.73,1561802.148,4518390.599,4701755.602,3140709.77,3481844.791,9488939.938,,,,,
P10111,Peptidyl-prolyl cis-trans isomerase A [OS=Rattus norvegicus],48320911.8,,40389566.76,64858370.45,25847773.46,41773416.67,185332689.6,,,,,
P85834,"Elongation factor Tu, mitochondrial [OS=Rattus norvegicus]",49853980.69,20992213.39,84880669.79,68210064.75,62049738.82,63341370.6,89824353.81,,,,,
P28037,Cytosolic 10-formyltetrahydrofolate dehydrogenase [OS=Rattus norvegicus],46020113.91,9268426.802,54878477.79,57688191.57,42370963.29,49423153.38,188764170.2,,,,,
Q9R063,"Peroxiredoxin-5, mitochondrial [OS=Rattus norvegicus]",15602188.64,,16788046.18,15621188.59,11319073.09,17834476.18,42346964.3,,,,,
P06687,Sodium/potassium-transporting ATPase subunit alpha-3 [OS=Rattus norvegicus],1638157859,1666175441,2017982381,1772936982,2705956675,2110959846,1569738619,,,,,
P21575,Dynamin-1 [OS=Rattus norvegicus],238906050,140475062.3,314972645.3,338444274.7,263517779.8,330644932.2,380455261.7,,,,,
Q00981,Ubiquitin carboxyl-terminal hydrolase isozyme L1 [OS=Rattus norvegicus],33304588.83,43505975.97,31989894.63,30484492.19,27170763.33,22524230.95,157561311.1,,,,,
Q5XI22,"Acetyl-CoA acetyltransferase, cytosolic [OS=Rattus norvegicus]",34929242.66,23201552.79,28767372.73,34778324.78,20696574.57,38000409.67,68358836.47,,,,,
P51635,Aldo-keto reductase family 1 member A1 [OS=Rattus norvegicus],17205861,1770577.51,13926891.5,16392229.88,10432556.51,13649315.3,35679151.14,,,,,
Q7TPB1,T-complex protein 1 subunit delta [OS=Rattus norvegicus],33059075.98,16744635.68,37127196.81,37143583.54,23752425.23,37280097.23,56944906.33,,,,,
Q66HD0,Endoplasmin [OS=Rattus norvegicus],221271261.8,157573755.6,177954321.1,253652140.4,231630917.5,218222262.7,312571271,,,,,
Q9WVC0,Septin-7 [OS=Rattus norvegicus],70715212.69,80041282.85,82204403.85,118379012.2,87918834.48,78807577.67,100938584.9,,,,,
P09527,Ras-related protein Rab-7a [OS=Rattus norvegicus],7014351.779,,6523051.289,8672245.156,7797730.563,5316940.917,11864933.43,,,,,
P28480,T-complex protein 1 subunit alpha [OS=Rattus norvegicus],50540882.07,43053803.07,90111091.85,71794144.75,58330717.31,50940280.49,82635579.57,,,,,
P14141,Carbonic anhydrase 3 [OS=Rattus norvegicus],13550249.16,8813960.134,26267841.32,29785824.27,34859436.33,1868288.444,2793899.208,,,,,
P12839,Neurofilament medium polypeptide [OS=Rattus norvegicus],3975062719,3646829954,3997835208,3236439094,6584544641,5999000187,5062496950,,,,,
P63086,Mitogen-activated protein kinase 1 [OS=Rattus norvegicus],24013680.89,5399389.247,16676234.6,28578042.88,16823681.26,23096274.6,45681224.13,,,,,
P47860,"ATP-dependent 6-phosphofructokinase, platelet type [OS=Rattus norvegicus]",72972138.14,50038607.62,134061206.6,172925570.9,129116326.4,116840643.6,193263010.4,,,,,
Q7M0E3,Destrin [OS=Rattus norvegicus],24548720.01,3244193.015,20563130.48,22215638.63,24097075.69,19112816.21,44520278.26,,,,,
Q641Z6,EH domain-containing protein 1 [OS=Rattus norvegicus],35979842.7,19127396.61,32270874.1,47978881.59,20772274.42,35232671.2,30699088.38,,,,,
P28023,Dynactin subunit 1 [OS=Rattus norvegicus],102996337.5,53212671.24,116723795.2,165653614.4,191225475.5,137696251.5,147538248.1,,,,,
P62142,Serine/threonine-protein phosphatase PP1-beta catalytic subunit [OS=Rattus norvegicus],9263378.028,,9956487.866,14316294.27,7575366.23,10752592,19165114.74,,,,,
P19804,Nucleoside diphosphate kinase B [OS=Rattus norvegicus],31031869.29,11448806.2,30768627.63,37634601.19,25443084.4,26294286.41,57773994.74,,,,,
P56571,"ES1 protein homolog, mitochondrial [OS=Rattus norvegicus]",17071284.89,,25507468.64,27003843.38,16383124.81,25098065.78,53720841.88,,,,,
P63018,Heat shock cognate 71 kDa protein [OS=Rattus norvegicus],969496161.4,1530755100,847454451.6,803201882.6,718569047.5,953043964.3,1040771206,,,,,
P68255,14-3-3 protein theta [OS=Rattus norvegicus],47026591.6,36093002.16,58350150.79,53745239.69,41694820.77,45031563.81,122430808.4,,,,,
Q9QXQ0,Alpha-actinin-4 [OS=Rattus norvegicus],146758953.6,84766962.53,81973425.13,132811293.8,97978597.37,126422818.4,71521284.95,,,,,
